"SUBJECT","NUMBER","INSTRUCTOR","AP","A","AM","BP","B","BM","CP","C","CM","DP","D","DM","F","P","N","OTHER","W","TOT_NON_W"
"TA","210.0","Hooker, Jerry S","0.0","39.0","8.0","7.0","9.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","69.0"
"TA","211.0","Branam, Bradley David","18.0","45.0","25.0","13.0","11.0","3.0","3.0","3.0","1.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","3.0","125.0"
"TA","211.0","Glaser, Margot ","3.0","6.0","0.0","2.0","1.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0"
"TA","211.0","Rose, Janet ","0.0","13.0","14.0","12.0","8.0","10.0","5.0","7.0","1.0","0.0","0.0","0.0","5.0","8.0","4.0","1.0","5.0","88.0"
"TA","211.0","Walker, Michael Vernon","0.0","6.0","4.0","3.0","1.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0"
"TA","212.0","Bonds, Alexandra Burke","0.0","45.0","7.0","1.0","22.0","1.0","4.0","7.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","2.0","91.0"
"TA","212.0","De Jong, Jeanette ","2.0","24.0","7.0","8.0","6.0","3.0","3.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","4.0","57.0"
"TA","212.0","Wilkin, Shelbi Lea","5.0","7.0","3.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","18.0"
"TA","250.0","Allaback, Christina Louise","4.0","9.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","16.0"
"TA","250.0","Bates, Kimberly Ann","1.0","9.0","7.0","3.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","22.0"
"TA","250.0","Borowicz, Lydia Anne","0.0","7.0","2.0","0.0","0.0","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","14.0"
"TA","250.0","Butler, Ryan P","2.0","6.0","10.0","1.0","3.0","5.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","30.0"
"TA","250.0","Cuskey, Meagan M","0.0","13.0","10.0","5.0","7.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","37.0"
"TA","250.0","Fairchild, Elisabeth Grace ","0.0","7.0","2.0","2.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0"
"TA","250.0","Foran, Rachel Elizabeth","1.0","26.0","19.0","3.0","3.0","3.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","59.0"
